County_Name,State_Abbr,Median_Income
Shawnee County,KS,66043
Sheridan County,KS,70000
Sherman County,KS,64444
Smith County,KS,57024
Stafford County,KS,63786
Stanton County,KS,70361
Stevens County,KS,61909
Sumner County,KS,60348
Thomas County,KS,73575
Trego County,KS,73375
Wabaunsee County,KS,70536
Wallace County,KS,60263
Washington County,KS,62452
Wichita County,KS,71282
Wilson County,KS,57056
Woodson County,KS,48152
Wyandotte County,KS,60582
Adair County,KY,50316
Allen County,KY,59029
Anderson County,KY,71747
Ballard County,KY,64740
Barren County,KY,49171
Bath County,KY,54128
Bell County,KY,32403
Boone County,KY,94752
Bourbon County,KY,56322
Boyd County,KY,60659
Boyle County,KY,61635
Bracken County,KY,59521
Breathitt County,KY,41101
Breckinridge County,KY,53673
Bullitt County,KY,77640
Butler County,KY,52003
Caldwell County,KY,57618
Calloway County,KY,51854
Campbell County,KY,77271
Carlisle County,KY,62019
Carroll County,KY,57753
Carter County,KY,50389
Casey County,KY,41689
Christian County,KY,54190
Clark County,KY,67824
Clay County,KY,39607
Clinton County,KY,42168
Crittenden County,KY,47003
Cumberland County,KY,39662
Daviess County,KY,65323
Edmonson County,KY,54512
Elliott County,KY,40074
Estill County,KY,43905
Fayette County,KY,67631
Fleming County,KY,49663
Floyd County,KY,41582
Franklin County,KY,66470
Fulton County,KY,36834
Gallatin County,KY,62247
Garrard County,KY,62572
Grant County,KY,67940
Graves County,KY,50576
Grayson County,KY,49893
Green County,KY,41087
Greenup County,KY,59613
Hancock County,KY,66836
Hardin County,KY,67608
Harlan County,KY,37198
Harrison County,KY,63205
Hart County,KY,49653
Henderson County,KY,58239
Henry County,KY,60736
Hickman County,KY,63750
Hopkins County,KY,57610
Jackson County,KY,41410
Jefferson County,KY,67849
Jessamine County,KY,74886
Johnson County,KY,43014
Kenton County,KY,79421
Knott County,KY,37736
Knox County,KY,33153
Larue County,KY,67770
Laurel County,KY,56999
Lawrence County,KY,45584
Lee County,KY,34182
Leslie County,KY,40176
Letcher County,KY,40501
Lewis County,KY,41632
Lincoln County,KY,50862
Livingston County,KY,59713
Logan County,KY,61535
